[2025-05-29 14:17:27,524] 16 root - INFO - Initiate the data ingestion
[2025-05-29 14:17:52,796] 66 root - INFO - Performed train test split on the dataframe
[2025-05-29 14:17:52,796] 68 root - INFO - Exicted split_data_as_train_test method of Data_Ingestion class
[2025-05-29 14:17:52,796] 74 root - INFO - Exporting train and test file path
[2025-05-29 14:17:52,974] 83 root - INFO - Exported train and test file path.
[2025-05-29 14:17:52,974] 18 root - INFO - Data Initiation Completed
[2025-05-29 14:17:52,980] 22 root - INFO - Initiate the data validation
[2025-05-29 14:17:53,027] 31 root - INFO - Required number of columns:2
[2025-05-29 14:17:53,042] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:17:53,042] 31 root - INFO - Required number of columns:2
[2025-05-29 14:17:53,042] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:17:53,359] 31 root - INFO - Required number of columns:2
[2025-05-29 14:17:53,359] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:17:53,359] 31 root - INFO - Required number of columns:2
[2025-05-29 14:17:53,359] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:17:53,609] 26 root - INFO - Data Validation Completed
[2025-05-29 14:17:53,609] 29 root - INFO - Data Transformation started
[2025-05-29 14:17:53,609] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-29 14:17:53,609] 65 root - INFO - Starting data transformation
