[2025-05-29 14:13:21,051] 16 root - INFO - Initiate the data ingestion
[2025-05-29 14:13:36,871] 66 root - INFO - Performed train test split on the dataframe
[2025-05-29 14:13:36,872] 68 root - INFO - Exicted split_data_as_train_test method of Data_Ingestion class
[2025-05-29 14:13:36,873] 74 root - INFO - Exporting train and test file path
[2025-05-29 14:13:37,098] 83 root - INFO - Exported train and test file path.
[2025-05-29 14:13:37,099] 18 root - INFO - Data Initiation Completed
[2025-05-29 14:13:37,104] 22 root - INFO - Initiate the data validation
[2025-05-29 14:13:37,166] 31 root - INFO - Required number of columns:2
[2025-05-29 14:13:37,167] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:13:37,167] 31 root - INFO - Required number of columns:2
[2025-05-29 14:13:37,167] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:13:37,540] 31 root - INFO - Required number of columns:2
[2025-05-29 14:13:37,541] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:13:37,541] 31 root - INFO - Required number of columns:2
[2025-05-29 14:13:37,541] 32 root - INFO - Data frame has columns: 50
[2025-05-29 14:13:37,932] 26 root - INFO - Data Validation Completed
[2025-05-29 14:13:37,934] 29 root - INFO - Data Transformation started
[2025-05-29 14:13:37,934] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-29 14:13:37,934] 65 root - INFO - Starting data transformation
