[2025-05-29 09:53:24,386] 15 root - INFO - Initiate the data ingestion
[2025-05-29 09:53:38,337] 66 root - INFO - Performed train test split on the dataframe
[2025-05-29 09:53:38,337] 68 root - INFO - Exicted split_data_as_train_test method of Data_Ingestion class
[2025-05-29 09:53:38,338] 74 root - INFO - Exporting train and test file path
[2025-05-29 09:53:38,530] 83 root - INFO - Exported train and test file path.
[2025-05-29 09:53:38,530] 17 root - INFO - Data Initiation Completed
[2025-05-29 09:53:38,535] 21 root - INFO - Initiate the data validation
[2025-05-29 09:53:38,583] 31 root - INFO - Required number of columns:2
[2025-05-29 09:53:38,584] 32 root - INFO - Data frame has columns: 50
[2025-05-29 09:53:38,584] 31 root - INFO - Required number of columns:2
[2025-05-29 09:53:38,584] 32 root - INFO - Data frame has columns: 50
