[2025-05-29 09:55:25,373] 15 root - INFO - Initiate the data ingestion
[2025-05-29 09:55:39,844] 66 root - INFO - Performed train test split on the dataframe
[2025-05-29 09:55:39,844] 68 root - INFO - Exicted split_data_as_train_test method of Data_Ingestion class
[2025-05-29 09:55:39,844] 74 root - INFO - Exporting train and test file path
[2025-05-29 09:55:40,016] 83 root - INFO - Exported train and test file path.
[2025-05-29 09:55:40,016] 17 root - INFO - Data Initiation Completed
[2025-05-29 09:55:40,021] 21 root - INFO - Initiate the data validation
[2025-05-29 09:55:40,069] 31 root - INFO - Required number of columns:2
[2025-05-29 09:55:40,070] 32 root - INFO - Data frame has columns: 50
[2025-05-29 09:55:40,070] 31 root - INFO - Required number of columns:2
[2025-05-29 09:55:40,070] 32 root - INFO - Data frame has columns: 50
[2025-05-29 09:55:40,360] 31 root - INFO - Required number of columns:2
[2025-05-29 09:55:40,360] 32 root - INFO - Data frame has columns: 50
[2025-05-29 09:55:40,360] 31 root - INFO - Required number of columns:2
[2025-05-29 09:55:40,360] 32 root - INFO - Data frame has columns: 50
[2025-05-29 09:55:40,616] 25 root - INFO - Data Validation Completed
